Leg 162,  Site 984, Core data type SUSCEPTIBILITY,  Log data type SUMT,
Data repicked to log depth
Linear Equation;  y = 0.139x + 78.998
       ELD      SmCore  SmLog
A     88.44    668.63   3661.00
A     88.59    610.82   3858.00
A     88.75    543.85   4098.50
A     88.90    510.29   3702.60
A     89.05    532.24   3238.80
A     89.20    553.53   3655.30
A     89.36    554.07   3941.20
A     89.51    561.54   3912.30
A     89.66    607.48   4269.60
A     89.81    673.83   4597.20
A     89.97    702.75   4618.00
A     90.12    683.27   4790.40
A     90.27    640.91   4395.50
A     90.42    587.78   4236.40
A     90.58    572.88   4056.00
A     90.73    467.32   3671.70
A     90.88    437.44   3607.10
A     91.03    424.05   3939.40
A     91.19    410.75   4182.00
A     91.34    397.36   4015.70
A     91.49    384.05   3875.80
A     91.64    370.75   3833.60
A     91.80    357.36   3705.50
A     91.95    344.06   3405.30
A     92.10    330.67   3062.80
A     92.25    317.37   2691.80
A     92.40    304.06   2483.40
A     92.56    290.67   2372.30
A     92.71    434.28   2357.90
A     92.86    397.71   2435.30
A     93.01    305.30   2489.10
A     93.17    315.17   2429.00
A     93.32    362.03   2412.20
A     93.47    407.20   2701.90
A     93.62    435.31   2837.40
A     93.78    462.97   3135.50
A     93.93    490.83   3138.70
A     94.08    496.77   3141.30
A     94.23    461.28   3140.10
A     94.39    433.23   2985.80
A     94.54    429.63   2809.60
A     94.69    454.29   3115.60
A     94.84    488.62   2876.40
A     95.00    511.66   2831.70
A     95.15    530.09   2779.40
A     95.30    560.12   3216.10
A     95.45    612.92   3741.90
A     95.61    671.57   3699.50
A     95.76    710.43   3719.20
A     95.91    706.72   3830.00
A     96.06    668.90   4011.20
A     96.21    622.60   4112.80
A     96.37    596.27   4021.90
A     96.52    600.82   3834.90
A     96.67    629.86   3631.70
A     96.82    666.44   3654.10
A     96.98    694.00   3757.10
A     97.13    701.44   3612.70
A     97.28    683.60   3570.30
A     97.43    646.72   3711.50
A     97.59    603.24   3617.50
A     97.74    559.46   3153.20
A     97.89    526.08   2702.50
A     98.04    500.21   2617.20
A     98.20    474.72   2989.30
A     98.35    466.18   2832.80
A     98.50    481.80   2582.90
A     98.65    506.59   2551.40
A     98.81    502.10   2655.00
A     98.96    456.95   2797.50
