B/M	BM	0.78	0.78	162	984	A	11	H	5	120.0	97.80	162	984	A	11	H	5	120.0	97.80
Jtop	JT	0.99	0.99	162	984	A	14	H	1	15.0	119.25	162	984	A	14	H	1	15.0	119.25
Jbot	JB	1.07	1.07	162	984	A	15	H	3	5.0	131.65	162	984	A	15	H	3	5.0	131.65
B/M	BM	0.78	0.78	162	984	B	11	H	5	20.0	100.20	162	984	B	11	H	5	20.0	100.20
Jtop	JT	0.99	0.99	162	984	B	13	H	6	120.0	121.70	162	984	B	13	H	6	120.0	121.70
Jbot	JB	1.07	1.07	162	984	B	15	H	1	50.0	132.50	162	984	B	15	H	1	50.0	132.50
Otop	OT	1.77	1.77	162	984	B	21	H	5	90.0	195.90	162	984	B	21	H	5	90.0	195.90
Obot	OB	1.95	1.95	162	984	B	24	H	4	25.0	222.25	162	984	B	24	H	4	25.0	222.25
Rtop	RT	2.14	2.14	162	984	B	26	H	4	85.0	241.85	162	984	B	26	H	4	85.0	241.85
Rbot	RB	2.15	2.15	162	984	B	27	H	1	45.0	246.45	162	984	B	27	H	1	45.0	246.45
B/M	BM	0.78	0.78	162	984	C	11	H	3	140.0	96.70	162	984	C	11	H	3	140.0	96.70
Jtop	JT	0.99	0.99	162	984	C	13	H	7	40.0	120.70	162	984	C	13	H	7	40.0	120.70
Jbot	JB	1.07	1.07	162	984	C	15	H	2	60.0	132.40	162	984	C	15	H	2	60.0	132.40
Otop	OT	1.77	1.77	162	984	C	22	H	1	0.0	196.80	162	984	C	22	H	1	0.0	196.80
Obot	OB	1.95	1.95	162	984	C	24	H	1	145.0	217.25	162	984	C	24	H	1	145.0	217.24
Rtop	RT	2.14	2.14	162	984	C	26	H	5	15.0	240.95	162	984	C	26	H	5	15.0	240.95
Rbot	RB	2.15	2.15	162	984	C	27	H	1	0.0	244.30	162	984	C	27	H	1	0.0	244.30
Otop	OT	1.77	1.77	162	984	D	5	H	2	60.0	196.80	162	984	D	5	H	2	60.0	196.80
Obot	OB	1.95	1.95	162	984	D	7	H	2	140.0	216.60	162	984	D	7	H	2	140.0	216.60
Rtop	RT	2.14	2.14	162	984	D	9	H	5	150.0	240.20	162	984	D	9	H	5	150.0	240.20
Rbot	RB	2.15	2.15	162	984	D	10	H	1	70.0	244.90	162	984	D	10	H	1	70.0	244.90
