HOLE:	984b
LEG:	162
TOP:	119.786003
BOTTOM:	488.441589

DEPTH	CALI

119.7860	6.2656
119.9384	8.4805
120.0908	10.7305
120.2432	12.2197
120.3956	12.5346
120.5480	12.5220
120.7004	12.5026
120.8528	12.5433
121.0052	12.6449
121.1576	12.6657
121.3100	13.0322
121.4624	13.7930
121.6148	13.8077
121.7672	13.3770
121.9196	12.8984
122.0720	12.7783
122.2244	12.7039
122.3768	12.4143
122.5292	12.4086
122.6816	12.4111
122.8340	12.6353
122.9864	12.8833
123.1388	12.8811
123.2912	12.9049
123.4436	12.9246
123.5960	12.9176
123.7484	12.9217
123.9008	12.9230
124.0532	12.9242
124.2056	12.9238
124.3580	12.9214
124.5104	12.9267
124.6628	12.9329
124.8152	13.0245
124.9676	13.0821
125.1200	13.0814
125.2724	13.0824
125.4248	13.0821
125.5772	13.0827
125.7296	13.0861
125.8820	13.0861
126.0344	13.1013
126.1868	13.1174
126.3392	13.1315
126.4916	13.1689
126.6440	13.2510
126.7964	13.2740
126.9488	13.3046
127.1012	13.4182
127.2536	13.4696
127.4060	13.5021
127.5584	13.5729
127.7108	13.6383
127.8632	13.6818
128.0156	13.7331
128.1680	13.7974
128.3204	13.8698
128.4728	13.9253
128.6252	14.4443
128.7776	15.2751
128.9300	15.2397
129.0824	14.7065
129.2348	14.2649
129.3872	14.0664
129.5396	14.0511
129.6920	14.0645
129.8444	14.1411
129.9968	14.1935
130.1492	13.9990
130.3016	13.5210
130.4540	13.2187
130.6064	13.1388
130.7588	12.8643
130.9112	12.7023
131.0636	12.7258
131.2160	12.6877
131.3684	12.6619
131.5208	12.6637
131.6732	12.7722
131.8256	12.9329
131.9780	13.0743
132.1304	13.4077
132.2828	13.6275
132.4352	13.8892
132.5876	14.2043
132.7400	14.3147
132.8924	14.4954
133.0448	14.6937
133.1972	14.7506
133.3496	14.9873
133.5020	15.1813
133.6544	15.2302
133.8068	15.2442
133.9592	15.2498
134.1116	15.2449
134.2640	15.2512
134.4164	15.2504
134.5688	15.2473
134.7212	15.2448
134.8736	15.2504
135.0260	15.2515
135.1784	15.2452
135.3308	15.2496
135.4832	15.2449
135.6356	15.2482
135.7880	15.2514
135.9404	15.2489
136.0928	15.2481
136.2452	15.2436
136.3976	15.2544
136.5500	15.2476
136.7024	15.2508
136.8548	15.2471
137.0072	15.2525
137.1596	15.2385
137.3120	15.2501
137.4644	15.2473
137.6168	15.2528
137.7692	15.2473
137.9216	15.2172
