HOLE:	984b
LEG:	162
TOP:	87.934799
BOTTOM:	497.890808

DEPTH	IDPH	IMPH	SFLU

87.9348	0.4678	0.5245	0.5472
88.0872	0.4755	0.5592	0.5562
88.2396	0.4897	0.5944	0.5197
88.3920	0.5108	0.6100	0.5472
88.5444	0.5258	0.6016	0.5395
88.6968	0.5339	0.5810	0.5559
88.8492	0.5333	0.5627	0.5420
89.0016	0.5292	0.5536	0.5337
89.1540	0.5241	0.5524	0.5223
89.3064	0.5144	0.5552	0.4814
89.4588	0.5093	0.5585	0.4757
89.6112	0.5054	0.5603	0.5010
89.7636	0.5076	0.5598	0.5150
89.9160	0.5131	0.5583	0.5151
90.0684	0.5246	0.5581	0.5104
90.2208	0.5292	0.5612	0.5103
90.3732	0.5410	0.5681	0.5224
90.5256	0.5460	0.5774	0.5389
90.6780	0.5491	0.5864	0.5392
90.8304	0.5607	0.5935	0.5326
90.9828	0.5673	0.5990	0.5318
91.1352	0.5690	0.6039	0.5308
91.2876	0.5701	0.6089	0.5777
91.4400	0.5720	0.6128	0.5911
91.5924	0.5713	0.6138	0.5936
91.7448	0.5733	0.6109	0.5561
91.8972	0.5759	0.6055	0.5160
92.0496	0.5776	0.5999	0.5153
92.2020	0.5765	0.5965	0.5254
92.3544	0.5770	0.5967	0.5249
92.5068	0.5781	0.6014	0.5601
92.6592	0.5832	0.6098	0.5599
92.8116	0.5810	0.6190	0.5603
92.9640	0.5805	0.6242	0.5771
93.1164	0.5763	0.6210	0.5945
93.2688	0.5714	0.6101	0.5862
93.4212	0.5710	0.5964	0.5396
93.5736	0.5651	0.5850	0.4931
93.7260	0.5601	0.5784	0.5021
93.8784	0.5588	0.5760	0.5186
94.0308	0.5570	0.5769	0.5303
94.1832	0.5578	0.5803	0.5299
94.3356	0.5613	0.5852	0.5335
94.4880	0.5647	0.5900	0.5356
94.6404	0.5648	0.5931	0.5376
94.7928	0.5663	0.5941	0.5341
94.9452	0.5660	0.5932	0.5324
95.0976	0.5648	0.5914	0.5356
95.2500	0.5628	0.5885	0.5304
95.4024	0.5634	0.5841	0.5346
95.5548	0.5503	0.5782	0.5298
95.7072	0.5458	0.5714	0.5339
95.8596	0.5469	0.5642	0.5262
96.0120	0.5389	0.5571	0.4847
96.1644	0.5307	0.5508	0.4814
96.3168	0.5287	0.5463	0.4910
96.4692	0.5271	0.5441	0.4884
96.6216	0.5280	0.5440	0.4931
96.7740	0.5310	0.5454	0.4942
96.9264	0.5367	0.5485	0.4990
97.0788	0.5437	0.5545	0.5092
97.2312	0.5497	0.5637	0.5130
97.3836	0.5600	0.5750	0.5165
97.5360	0.5614	0.5857	0.5218
97.6884	0.5709	0.5940	0.5295
97.8408	0.5788	0.5998	0.5443
97.9932	0.5802	0.6041	0.5577
98.1456	0.5810	0.6063	0.5627
98.2980	0.5784	0.6054	0.5365
98.4504	0.5794	0.6004	0.5654
98.6028	0.5738	0.5927	0.5200
98.7552	0.5670	0.5838	0.5091
98.9076	0.5735	0.5761	0.5066
99.0600	0.5633	0.5708	0.5062
99.2124	0.5574	0.5684	0.5017
99.3648	0.5557	0.5683	0.5039
99.5172	0.5547	0.5695	0.5023
99.6696	0.5552	0.5706	0.5063
99.8220	0.5571	0.5713	0.5042
99.9744	0.5586	0.5724	0.5118
100.1268	0.5599	0.5748	0.5294
100.2792	0.5633	0.5790	0.5337
100.4316	0.5670	0.5841	0.5333
100.5840	0.5689	0.5889	0.5441
100.7364	0.5707	0.5918	0.5461
100.8888	0.5719	0.5924	0.5339
101.0412	0.5727	0.5913	0.5334
101.1936	0.5747	0.5903	0.5300
101.3460	0.5786	0.5905	0.5145
101.4984	0.5787	0.5921	0.5167
101.6508	0.5777	0.5946	0.5214
101.8032	0.5793	0.5970	0.5466
101.9556	0.5783	0.5986	0.5457
102.1080	0.5769	0.5982	0.5392
102.2604	0.5712	0.5946	0.5322
102.4128	0.5690	0.5876	0.5316
102.5652	0.5639	0.5784	0.5452
102.7176	0.5589	0.5692	0.5023
102.8700	0.5545	0.5619	0.4844
103.0224	0.5463	0.5573	0.4837
103.1748	0.5405	0.5547	0.4925
103.3272	0.5366	0.5531	0.4968
103.4796	0.5335	0.5517	0.5034
103.6320	0.5312	0.5495	0.5090
103.7844	0.5310	0.5462	0.5048
103.9368	0.5318	0.5425	0.4867
104.0892	0.5320	0.5399	0.4692
104.2416	0.5323	0.5396	0.4733
104.3940	0.5333	0.5422	0.4896
104.5464	0.5349	0.5469	0.5038
104.6988	0.5365	0.5524	0.5010
104.8512	0.5411	0.5568	0.5036
105.0036	0.5422	0.5592	0.5090
105.1560	0.5430	0.5596	0.5042
105.3084	0.5446	0.5585	0.5034
105.4608	0.5468	0.5570	0.4961
105.6132	0.5480	0.5572	0.4947
105.7656	0.5563	0.5607	0.5037
105.9180	0.5596	0.5680	0.5073
106.0704	0.5587	0.5777	0.4943
106.2228	0.5709	0.5877	0.5260
106.3752	0.5730	0.5959	0.5506
106.5276	0.5731	0.6008	0.5488
106.6800	0.5708	0.6010	0.5633
106.8324	0.5693	0.5963	0.5733
106.9848	0.5640	0.5871	0.5728
107.1372	0.5592	0.5750	0.5244
107.2896	0.5543	0.5624	0.4909
107.4420	0.5486	0.5517	0.4955
107.5944	0.5466	0.5450	0.4813
107.7468	0.5502	0.5438	0.4727
107.8992	0.5552	0.5486	0.4815
108.0516	0.5495	0.5582	0.5042
108.2040	0.5543	0.5706	0.5068
108.3564	0.5678	0.5841	0.5160
108.5088	0.5708	0.5968	0.5244
108.6612	0.5721	0.6049	0.5486
108.8136	0.5707	0.6030	0.5039
108.9660	0.5691	0.5893	0.5726
109.1184	0.5552	0.5677	0.5646
109.2708	0.5546	0.5486	0.4685
109.4232	0.5559	0.5388	0.4545
109.5756	0.5495	0.5390	0.4687
109.7280	0.5402	0.5458	0.4874
109.8804	0.5402	0.5549	0.4910
110.0328	0.5399	0.5633	0.5412
110.1852	0.5448	0.5690	0.5419
110.3376	0.5548	0.5716	0.5304
110.4900	0.5460	0.5720	0.5309
110.6424	0.5457	0.5721	0.4954
110.7948	0.5492	0.5730	0.5149
110.9472	0.5508	0.5737	0.5197
111.0996	0.5471	0.5706	0.5264
111.2520	0.5298	0.5607	0.4818
111.4044	0.5286	0.5466	0.5428
111.5568	0.5270	0.5340	0.5175
111.7092	0.5263	0.5279	0.4472
111.8616	0.5263	0.5291	0.4439
112.0140	0.5270	0.5356	0.4564
112.1664	0.5277	0.5448	0.5071
112.3188	0.5295	0.5548	0.5169
112.4712	0.5396	0.5640	0.5336
112.6236	0.5402	0.5700	0.5267
112.7760	0.5350	0.5709	0.5326
112.9284	0.5390	0.5671	0.5060
113.0808	0.5342	0.5610	0.4995
113.2332	0.5328	0.5543	0.4995
113.3856	0.5271	0.5473	0.4990
113.5380	0.5233	0.5402	0.4977
113.6904	0.5224	0.5341	0.4943
113.8428	0.5194	0.5304	0.4835
113.9952	0.5227	0.5301	0.4669
114.1476	0.5310	0.5330	0.4692
114.3000	0.5334	0.5377	0.4789
114.4524	0.5355	0.5439	0.4865
114.6048	0.5541	0.5525	0.5000
114.7572	0.5585	0.5642	0.5213
114.9096	0.5548	0.5776	0.5465
115.0620	0.5644	0.5885	0.5801
