HOLE:	984b
LEG:	162
TOP:	119.786003
BOTTOM:	488.441589

DEPTH	RHOB	PEF	DRHO

119.7860	1.5575	3.3150	0.0359
119.9384	1.6240	3.3815	0.0455
120.0908	1.6316	3.5422	0.0168
120.2432	1.6519	3.6829	0.0092
120.3956	1.6433	3.6809	-0.0103
120.5480	1.6290	3.6094	-0.0167
120.7004	1.6163	3.5776	-0.0166
120.8528	1.6074	3.5854	-0.0119
121.0052	1.6045	3.5638	-0.0078
121.1576	1.6031	3.5165	-0.0023
121.3100	1.6070	3.4482	0.0046
121.4624	1.6067	3.4015	0.0107
121.6148	1.6083	3.3752	0.0120
121.7672	1.6036	3.3415	0.0099
121.9196	1.6071	3.3790	0.0109
122.0720	1.6101	3.3726	0.0128
122.2244	1.6088	3.4865	0.0093
122.3768	1.6107	3.4591	0.0067
122.5292	1.6079	3.4800	0.0034
122.6816	1.6063	3.3826	0.0085
122.8340	1.5927	3.3822	0.0045
122.9864	1.5853	3.3898	0.0024
123.1388	1.5830	3.4136	-0.0022
123.2912	1.5860	3.4348	-0.0013
123.4436	1.5875	3.4784	-0.0018
123.5960	1.5919	3.5697	-0.0048
123.7484	1.5906	3.5488	-0.0048
123.9008	1.5930	3.3895	0.0007
124.0532	1.5855	3.2254	0.0083
124.2056	1.5869	3.2427	0.0120
124.3580	1.5803	3.3453	0.0041
124.5104	1.5804	3.3896	-0.0010
124.6628	1.5767	3.3877	-0.0035
124.8152	1.5747	3.4180	-0.0047
124.9676	1.5844	3.5109	-0.0055
125.1200	1.6004	3.6283	-0.0050
125.2724	1.6345	3.7350	0.0011
125.4248	1.6531	3.7637	0.0009
125.5772	1.6668	3.6524	-0.0012
125.7296	1.6633	3.6309	-0.0048
125.8820	1.6645	3.7106	-0.0103
126.0344	1.6654	3.8181	-0.0181
126.1868	1.6711	3.8284	-0.0214
126.3392	1.6803	3.7869	-0.0173
126.4916	1.6871	3.7644	-0.0140
126.6440	1.6891	3.7928	-0.0142
126.7964	1.6875	3.8460	-0.0132
126.9488	1.6861	3.8794	-0.0117
127.1012	1.6858	3.8589	-0.0124
127.2536	1.6812	3.8129	-0.0143
127.4060	1.6673	3.7467	-0.0154
127.5584	1.6461	3.6072	-0.0142
127.7108	1.6260	3.4092	-0.0096
127.8632	1.6105	3.2705	-0.0011
128.0156	1.5967	3.1842	0.0053
128.1680	1.5873	3.1108	0.0085
128.3204	1.5837	3.0550	0.0101
128.4728	1.5856	3.0416	0.0145
128.6252	1.5878	3.0391	0.0175
128.7776	1.5820	3.0146	0.0155
128.9300	1.5746	3.0266	0.0156
129.0824	1.5742	3.1213	0.0203
129.2348	1.5713	3.2538	0.0122
129.3872	1.5767	3.3237	0.0021
129.5396	1.5884	3.3004	0.0003
129.6920	1.5942	3.2335	-0.0013
129.8444	1.5933	3.1366	-0.0036
129.9968	1.5869	3.0548	-0.0035
130.1492	1.5757	3.0273	0.0010
130.3016	1.5614	3.0875	0.0041
130.4540	1.5514	3.1890	0.0011
130.6064	1.5512	3.2812	-0.0051
130.7588	1.5575	3.3469	-0.0093
130.9112	1.5638	3.4242	-0.0116
131.0636	1.5724	3.4882	-0.0127
131.2160	1.5849	3.5586	-0.0129
131.3684	1.6015	3.6219	-0.0130
131.5208	1.6147	3.6231	-0.0117
131.6732	1.6211	3.5590	-0.0101
131.8256	1.6195	3.3967	-0.0017
131.9780	1.6115	3.1858	0.0085
132.1304	1.5838	2.9988	0.0069
