HOLE:	984B
LEG:	162
TOP:	78.790802
BOTTOM:	500.024414

DEPTH	TENS	CS	ETIM

78.7908	2890.0000	568.2003	2717.2539
78.9432	2890.0000	568.2003	2716.2891
79.0956	2805.0000	568.1519	2715.3235
79.2480	2805.0000	568.1387	2714.3579
79.4004	2760.0000	568.1236	2713.3904
79.5528	2760.0000	568.2741	2712.4246
79.7052	2755.0000	568.3204	2711.4590
79.8576	2755.0000	568.3312	2710.4944
80.0100	2755.0000	568.2595	2709.5281
80.1624	2715.0000	568.3456	2708.5454
80.3148	2715.0000	569.7646	2707.5791
80.4672	2670.0000	570.0658	2706.6060
80.6196	2670.0000	570.9517	2705.6306
80.7720	2705.0000	572.1707	2704.6650
80.9244	2705.0000	572.7315	2703.7156
81.0768	2795.0000	572.0046	2702.7661
81.2292	2795.0000	571.1738	2701.8096
81.3816	2825.0000	570.8285	2700.8506
81.5340	2825.0000	570.6475	2699.9009
81.6864	2750.0000	569.6228	2698.9351
81.8388	2750.0000	569.8617	2697.9524
81.9912	2875.0000	571.4973	2696.9861
82.1436	2875.0000	572.0460	2696.0266
82.2960	2880.0000	572.0815	2695.0535
82.4484	2880.0000	573.2554	2694.0879
82.6008	2750.0000	573.9713	2693.1379
82.7532	2750.0000	573.4648	2692.1885
82.9056	2345.0000	572.8427	2691.2224
83.0580	2345.0000	573.5416	2690.2700
83.2104	2425.0000	573.1904	2689.2905
83.3628	2425.0000	575.0573	2688.3406
83.5152	2755.0000	574.7061	2687.3765
83.6676	2755.0000	575.5027	2686.4409
83.8200	2650.0000	573.9365	2685.4980
83.9724	2650.0000	572.8127	2684.5586
84.1248	2650.0000	571.2188	2683.5920
84.2772	2330.0000	571.7276	2682.6096
84.4296	2330.0000	573.6298	2681.6270
84.5820	2290.0000	575.8038	2680.6604
84.7344	2290.0000	576.9677	2679.7004
84.8868	2875.0000	577.7487	2678.7610
85.0392	2875.0000	576.8600	2677.8279
85.1916	2655.0000	575.2630	2676.8940
85.3440	2655.0000	573.5279	2675.9609
85.4964	2265.0000	571.4549	2674.9951
85.6488	2265.0000	571.9556	2674.0120
85.8012	2250.0000	573.9309	2673.0459
85.9536	2250.0000	574.7853	2672.0630
86.1060	2725.0000	577.1649	2671.0959
86.2584	2725.0000	578.5652	2670.1636
86.4108	2515.0000	577.1668	2669.2134
86.5632	2515.0000	577.1169	2668.2805
86.7156	2365.0000	575.5567	2667.3315
86.8680	2365.0000	575.1899	2666.3655
87.0204	2280.0000	576.2241	2665.3999
87.1728	2280.0000	577.3640	2664.4341
87.3252	2440.0000	578.7089	2663.4839
87.4776	2440.0000	578.8793	2662.5339
87.6300	2440.0000	579.0740	2661.5845
87.7824	2530.0000	579.2532	2660.6521
87.9348	2530.0000	577.9531	2659.7024
88.0872	2360.0000	577.9721	2658.7534
88.2396	2360.0000	577.9504	2657.8040
88.3920	2610.0000	577.9690	2656.8579
88.5444	2610.0000	577.6849	2655.9209
88.6968	2500.0000	576.5644	2654.9714
88.8492	2500.0000	576.3850	2654.0186
89.0016	2415.0000	576.4832	2653.0444
89.1540	2415.0000	578.3686	2652.0720
