HOLE:	984B
LEG:	162
TOP:	98.145599
BOTTOM:	502.462799

DEPTH	TENS	CS	ETIM

98.1456	2535.0000	498.3746	3312.7715
98.2980	2535.0000	498.3746	3311.6660
98.4504	2535.0000	498.6735	3310.5654
98.6028	2495.0000	498.6930	3309.4490
98.7552	2495.0000	499.7358	3308.3484
98.9076	2555.0000	499.9071	3307.2595
99.0600	2375.0000	499.3507	3306.1646
99.2124	2375.0000	499.1093	3305.0811
99.3648	2300.0000	498.0736	3303.9800
99.5172	2300.0000	498.0397	3302.8794
99.6696	2455.0000	497.9687	3301.7795
99.8220	2455.0000	497.8551	3300.6790
99.9744	2505.0000	497.7577	3299.5906
100.1268	2505.0000	496.8612	3298.4795
100.2792	2425.0000	497.2949	3297.3660
100.4316	2425.0000	497.9489	3296.2539
100.5840	2425.0000	498.6014	3295.1421
100.7364	2505.0000	499.3471	3294.0259
100.8888	2505.0000	500.4520	3292.9199
101.0412	2585.0000	501.0797	3291.8245
101.1936	2585.0000	501.1179	3290.7410
101.3460	2510.0000	500.3691	3289.6521
101.4984	2510.0000	499.8788	3288.5740
101.6508	2350.0000	498.5839	3287.4724
101.8032	2350.0000	498.6553	3286.3889
101.9556	2485.0000	497.5547	3285.3044
102.1080	2555.0000	496.3637	3284.2205
102.2604	2555.0000	494.9691	3283.1216
102.4128	2445.0000	494.3622	3282.0044
102.5652	2445.0000	494.8178	3280.9045
102.7176	2465.0000	494.2542	3279.7876
102.8700	2465.0000	494.6943	3278.6689
103.0224	2490.0000	495.2915	3277.5691
103.1748	2490.0000	494.7955	3276.4519
103.3272	2500.0000	495.3130	3275.3516
103.4796	2500.0000	494.8524	3274.2234
103.6320	2585.0000	496.0624	3273.1189
103.7844	2515.0000	495.9668	3272.0349
103.9368	2515.0000	494.5155	3270.9170
104.0892	2605.0000	495.0558	3269.7996
104.2416	2605.0000	495.6419	3268.6880
104.3940	2600.0000	495.9332	3267.6001
104.5464	2600.0000	494.7430	3266.5000
104.6988	2515.0000	494.1686	3265.3831
104.8512	2515.0000	494.5966	3264.2649
105.0036	2375.0000	495.1485	3263.1475
105.1560	2470.0000	495.7479	3262.0420
105.3084	2470.0000	495.6715	3260.9304
105.4608	2510.0000	495.9670	3259.8306
105.6132	2510.0000	495.5674	3258.7134
105.7656	2505.0000	496.1953	3257.6135
105.9180	2505.0000	495.8283	3256.5076
106.0704	2510.0000	495.7955	3255.3960
106.2228	2510.0000	496.1087	3254.3125
106.3752	2610.0000	494.6443	3253.2119
106.5276	2510.0000	494.0883	3252.1121
106.6800	2510.0000	493.4203	3251.0115
106.8324	2600.0000	492.6894	3249.8950
106.9848	2600.0000	492.8746	3248.7786
107.1372	2680.0000	493.0863	3247.6621
107.2896	2680.0000	493.3282	3246.5449
107.4420	2390.0000	493.6361	3245.4385
107.5944	2390.0000	493.3222	3244.3259
107.7468	2580.0000	493.3454	3243.2261
107.8992	2580.0000	492.5714	3242.1084
108.0516	2595.0000	492.8026	3241.0081
108.2040	2495.0000	491.9834	3239.9089
108.3564	2495.0000	490.9500	3238.7920
108.5088	2475.0000	490.9181	3237.6799
108.6612	2475.0000	490.5663	3236.5576
108.8136	2570.0000	490.8234	3235.4341
108.9660	2570.0000	491.1794	3234.3059
109.1184	2535.0000	491.8647	3233.1890
109.2708	2580.0000	491.9642	3232.0645
109.4232	2579.7031	492.0883	3230.9277
109.5756	2560.0000	492.8869	3229.8096
109.7280	2563.1250	492.7554	3228.6885
109.8804	2670.0000	492.7370	3227.5645
110.0328	2665.5000	492.9015	3226.4492
110.1852	2565.0000	492.4650	3225.3301
110.3376	2565.8594	492.2975	3224.2119
110.4900	2577.0938	492.0246	3223.0977
110.6424	2535.0000	491.4638	3221.9736
110.7948	2528.6875	491.4835	3220.8525
110.9472	2455.0000	491.2090	3219.7402
111.0996	2466.1250	490.4696	3218.6357
111.2520	2575.0000	489.0522	3217.5068
111.4044	2565.8750	489.0092	3216.3740
111.5568	2490.0000	489.1212	3215.2373
111.7092	2499.1250	489.6892	3214.1152
111.8616	2574.0000	489.1790	3212.9893
112.0140	2635.0000	488.9465	3211.8652
112.1664	2632.8438	488.6257	3210.7393
112.3188	2620.0000	488.2497	3209.6152
112.4712	2612.0625	487.7747	3208.4873
112.6236	2570.0000	487.4544	3207.3486
112.7760	2581.1875	487.7669	3206.2217
112.9284	2635.0000	487.4449	3205.0801
113.0808	2619.1250	487.8610	3203.9482
113.2332	2560.6250	487.8616	3202.8086
113.3856	2605.0000	488.4152	3201.6641
113.5380	2619.5625	489.0540	3200.5225
113.6904	2675.0000	489.7886	3199.3838
113.8428	2647.1250	490.5030	3198.2490
113.9952	2550.0000	490.9702	3197.1250
114.1476	2478.0000	490.8834	3196.0029
114.3000	2245.0000	490.6523	3194.8730
114.4524	2327.7500	490.9006	3193.7412
114.6048	2585.3125	491.2953	3192.6123
114.7572	2615.0000	491.5412	3191.5020
114.9096	2582.2500	490.6227	3190.3877
115.0620	2495.0000	489.9148	3189.2666
115.2144	2533.7500	489.4838	3188.1367
115.3668	2630.0000	489.5403	3186.9990
115.5192	2628.4961	490.0275	3185.8750
115.6716	2618.8281	489.8626	3184.7539
115.8240	2605.0000	489.3624	3183.6367
115.9764	2576.0000	488.6259	3182.5039
116.1288	2515.0000	488.7846	3181.3682
116.2812	2513.3164	488.9944	3180.2275
116.4336	2510.0000	489.7202	3179.0820
116.5860	2536.3750	490.8066	3177.9375
116.7384	2585.0000	491.9892	3176.8145
116.8908	2568.5625	491.9436	3175.7021
117.0432	2528.8125	491.2572	3174.5830
117.1956	2510.0000	490.8950	3173.4639
117.3480	2517.7344	490.4536	3172.3428
117.5004	2530.0000	490.1175	3171.2178
117.6528	2582.1250	489.9782	3170.0898
117.8052	2660.0000	489.9782	3168.9580
117.9576	2643.3438	490.3125	3167.8252
118.1100	2620.0000	490.5891	3166.7031
118.2624	2574.8750	490.3279	3165.5801
118.4148	2536.8750	490.1092	3164.4512
118.5672	2565.0000	490.1602	3163.3252
118.7196	2587.5625	490.0776	3162.2090
118.8720	2615.0000	489.4267	3161.1006
119.0244	2670.8750	488.0634	3159.9844
119.1768	2735.0000	487.0234	3158.8525
119.3292	2639.0000	486.8835	3157.7109
119.4816	2535.0000	487.2951	3156.5615
119.6340	2386.5000	488.2718	3155.4092
119.7864	2403.2500	489.3999	3154.2695
119.9388	2570.0000	490.1738	3153.1279
120.0912	2621.6250	491.0590	3151.9971
120.2436	2670.0000	491.3558	3150.8896
120.3960	2617.0000	490.2232	3149.7793
120.5484	2570.0000	489.1748	3148.6602
120.7008	2616.3125	488.4253	3147.5361
120.8532	2655.0000	488.0460	3146.4053
121.0056	2621.4375	487.9378	3145.2695
121.1580	2623.3125	488.1128	3144.1396
121.3104	2645.0000	487.9437	3143.0166
121.4628	2592.7500	487.4937	3141.8896
121.6152	2555.0000	487.0269	3140.7646
121.7676	2614.5000	486.4108	3139.6299
121.9200	2655.0000	486.3524	3138.4971
122.0724	2618.4375	486.0846	3137.3730
122.2248	2595.0000	485.3648	3136.2588
122.3772	2551.3125	483.8319	3135.1289
122.5296	2594.3750	482.9986	3133.9873
122.6820	2635.0000	482.8511	3132.8564
122.8344	2602.7500	482.0245	3131.7197
122.9868	2585.0000	481.3733	3130.5693
123.1392	2601.4688	481.6459	3129.4229
123.2916	2610.0000	481.6421	3128.2637
123.4440	2640.3125	482.2067	3127.1016
123.5964	2637.9688	483.2794	3125.9385
123.7488	2630.0000	484.4808	3124.7783
123.9012	2598.6875	485.6381	3123.6299
124.0536	2585.0000	486.1718	3122.4902
124.2060	2577.8984	486.4810	3121.3594
124.3584	2575.0000	486.1030	3120.2227
124.5108	2618.4375	486.1125	3119.0820
124.6632	2616.7188	486.4135	3117.9512
124.8156	2610.0000	486.0036	3116.8271
124.9680	2602.5469	485.2595	3115.6982
125.1204	2600.0000	484.6439	3114.5420
125.2728	2543.0000	485.5583	3113.3965
125.4252	2525.0000	486.0950	3112.2715
125.5776	2579.1875	485.3083	3111.1504
125.7300	2524.6250	484.1570	3110.0020
125.8824	2505.0000	484.6273	3108.8838
126.0348	2489.0781	483.2604	3107.7480
126.1872	2485.0000	482.7281	3106.5947
126.3396	2537.6250	483.3456	3105.4482
126.4920	2550.0000	483.5112	3104.3066
126.6444	2677.7500	483.4039	3103.1641
126.7968	2705.0000	483.3040	3102.0234
126.9492	2625.2500	483.2007	3100.8672
127.1016	2605.7695	483.9462	3099.7188
127.2540	2605.0000	484.4040	3098.5664
127.4064	2501.7490	485.0832	3097.4365
127.5588	2485.0049	484.4438	3096.3125
127.7112	2563.7507	483.4747	3095.1719
127.8636	2575.0007	483.2949	3094.0156
128.0160	2610.5532	484.1272	3092.8711
128.1684	2458.1238	484.2602	3091.7441
128.3208	2440.0066	483.3152	3090.6064
128.4732	2549.2507	483.0525	3089.4648
128.6256	2560.0029	482.9075	3088.3223
128.7780	2606.2502	482.8035	3087.1807
128.9304	2609.9968	482.6326	3086.0547
129.0828	2558.3157	481.4744	3084.9199
129.2352	2611.7502	480.6666	3083.7910
129.3876	2615.0039	479.4277	3082.6504
129.5400	2677.4377	478.7592	3081.5068
129.6924	2679.9917	478.0032	3080.3545
129.8448	2543.4998	477.8142	3079.1934
129.9972	2540.0039	478.1735	3078.0283
130.1496	2604.3127	478.6570	3076.8438
130.3020	2609.9805	480.4434	3075.6855
130.4544	2609.9048	480.9358	3074.5254
130.6068	2585.0000	481.5468	3073.3730
130.7592	2585.2666	481.9008	3072.2100
130.9116	2599.9998	482.8595	3071.0684
131.0640	2594.9910	482.6303	3069.9287
131.2164	2448.3174	482.3707	3068.7861
131.3688	2530.0002	482.1353	3067.6426
131.5212	2535.8813	481.9746	3066.4873
131.6736	2639.9995	482.5531	3065.3613
131.8260	2633.8699	481.3906	3064.2031
131.9784	2550.0005	481.9322	3063.0635
132.1308	2558.6309	481.5745	3061.9189
132.2832	2653.2019	481.3138	3060.7617
132.4356	2635.0005	481.9215	3059.6104
132.5880	2644.8801	482.1733	3058.4824
132.7404	2729.9980	481.1505	3057.3555
132.8928	2699.7363	479.8046	3056.2090
133.0452	2475.0010	479.4391	3055.0654
133.1976	2492.2568	479.0004	3053.8965
133.3500	2604.9993	479.8615	3052.7383
133.5024	2591.8711	480.2621	3051.5811
133.6548	2529.6299	480.6242	3050.4346
133.8072	2609.9973	480.3802	3049.2969
133.9596	2567.7373	479.6814	3048.1396
134.1120	2360.0029	479.9843	3046.9873
134.2644	2407.5129	480.0561	3045.8379
134.4168	2620.0005	479.9162	3044.6826
134.5692	2626.9084	480.1052	3043.5459
134.7216	2664.1897	479.3217	3042.4189
134.8740	2699.9985	477.7072	3041.2803
135.0264	2675.8699	476.5917	3040.1318
135.1788	2590.0010	475.9594	3038.9775
135.3312	2605.1904	475.5737	3037.8311
135.4836	2655.0010	474.6194	3036.6738
135.6360	2671.0632	474.2509	3035.5166
135.7884	2682.9934	473.7914	3034.3525
135.9408	2575.0000	473.5485	3033.1807
136.0932	2573.6560	473.9180	3032.0137
136.2456	2570.0000	474.0039	3030.8457
136.3980	2568.5823	474.0694	3029.6719
136.5504	2572.2510	474.6237	3028.4990
136.7028	2589.9998	475.0934	3027.3320
136.8552	2586.9526	475.2237	3026.1602
137.0076	2580.0005	475.7845	3024.9795
137.1600	2589.5950	476.9787	3023.7969
137.3124	2609.9980	478.3444	3022.6221
137.4648	2576.7488	479.5064	3021.4570
137.6172	2557.7556	480.1927	3020.3027
137.7696	2650.0010	480.3411	3019.1348
137.9220	2664.1890	481.4501	3017.9775
138.0744	2689.9973	482.0775	3016.8262
138.2268	2645.7454	482.3713	3015.6777
138.3792	2570.0029	482.5901	3014.5127
138.5316	2616.0020	483.7224	3013.3477
138.6840	2648.9961	485.0238	3012.1875
138.8364	2584.9990	486.3418	3011.0342
138.9888	2568.7798	487.3604	3009.8857
139.1412	2545.0017	488.2956	3008.7422
139.2936	2572.2522	489.0184	3007.6025
139.4460	2609.9966	489.6280	3006.4463
139.5984	2555.7471	491.2306	3005.2832
