HOLE:	984b
LEG:	162
TOP:	78.790802
BOTTOM:	500.024414

DEPTH	SGR	CGR	THOR	URAN	POTA	W1NG	W2NG	W3NG	W4NG	W5NG

78.7908	8.2226	5.4371	0.3559	0.3933	0.2936	12.8686	1.0724	1.0724	1.0724	0.0000
78.9432	8.2226	5.4371	0.3559	0.3933	0.2936	10.7181	6.4309	1.0718	0.0000	1.0718
79.0956	8.2226	5.4371	0.3559	0.3933	0.2936	12.8480	2.1413	3.2120	0.0000	0.0000
79.2480	8.2226	5.4371	0.3559	0.3933	0.2936	14.0070	5.0025	0.0000	1.0005	0.0000
79.4004	8.2226	5.4371	0.3559	0.3933	0.2936	23.5925	4.2895	2.1448	1.0724	0.0000
79.5528	8.2226	5.4371	0.3559	0.3933	0.2936	12.9935	8.9955	1.9990	0.0000	0.0000
79.7052	8.2226	5.4371	0.3559	0.3933	0.2936	13.0065	7.0035	2.0010	0.0000	0.0000
79.8576	8.2226	5.4371	0.3559	0.3933	0.2936	15.0054	6.4309	1.0718	0.0000	0.0000
80.0100	8.2226	5.4371	0.3559	0.3933	0.2936	17.1490	4.2872	1.0718	0.0000	1.0718
80.1624	8.2226	5.4371	0.3559	0.3933	0.2936	23.5925	7.5067	1.0724	1.0724	0.0000
80.3148	8.2226	5.4371	0.3559	0.3933	0.2936	21.4362	4.2872	2.1436	0.0000	0.0000
80.4672	8.2226	5.4371	0.3559	0.3933	0.2936	16.0600	11.7773	1.0707	2.1413	0.0000
80.6196	8.2226	5.4371	0.3559	0.3933	0.2936	20.3753	6.4343	3.2172	0.0000	0.0000
80.7720	8.2226	5.4371	0.3559	0.3933	0.2936	24.6253	9.6360	1.0707	0.0000	0.0000
80.9244	8.2226	5.4371	0.3559	0.3933	0.2936	17.1490	8.5745	0.0000	0.0000	0.0000
81.0768	8.2226	5.4371	0.3559	0.3933	0.2936	17.1490	9.6463	2.1436	0.0000	1.0718
81.2292	8.2226	5.4371	0.3559	0.3933	0.2936	11.0110	9.0090	2.0020	0.0000	0.0000
81.3816	8.2226	5.4371	0.3559	0.3933	0.2936	20.3863	5.3648	2.1459	1.0730	0.0000
