HOLE:	984b
LEG:	162
TOP:	98.145599
BOTTOM:	502.462799

DEPTH	SGR	CGR	THOR	URAN	POTA	W1NG	W2NG	W3NG	W4NG	W5NG

98.1456	23.4131	23.6001	-0.2004	-0.0211	1.4140	39.7000	21.1734	7.0578	0.0000	0.0000
98.2980	30.1663	17.2948	0.0304	1.4541	1.0012	51.5947	27.2045	6.5666	0.9381	0.0000
98.4504	36.1690	17.6460	1.0102	2.0926	0.8280	52.9334	32.6423	4.4111	0.8822	0.0000
98.6028	35.9886	22.3407	2.3434	1.5418	0.8378	81.0930	25.5619	7.0516	0.8814	1.7629
98.7552	38.3743	24.5351	2.8672	1.5635	0.8621	62.5826	20.2732	9.6959	1.7629	1.7629
98.9076	36.7274	23.4604	2.7704	1.4988	0.8186	77.6356	24.7022	8.8222	0.8822	2.6467
99.0600	38.2330	22.3226	2.5938	1.7974	0.7873	70.2247	24.3446	7.4906	2.8090	0.9363
99.2124	36.5200	21.0572	2.4731	1.7469	0.7374	70.6402	29.1391	8.8300	0.0000	0.0000
99.3648	33.9207	19.2124	2.3987	1.6616	0.6447	63.4921	29.9824	3.5273	0.8818	3.5273
99.5172	30.6174	17.2936	2.2808	1.5052	0.5563	57.3445	14.9978	7.9400	1.7644	0.8822
99.6696	30.4404	15.8431	2.2191	1.6491	0.4840	53.3708	23.4082	3.7453	0.9363	0.0000
99.8220	31.5181	16.2831	2.2939	1.7211	0.4949	70.5779	27.3489	1.7644	0.0000	0.0000
99.9744	29.9621	16.1218	2.2919	1.5636	0.4858	60.8197	20.2732	8.8145	2.6443	0.8814
100.1268	28.0348	15.4523	2.2008	1.4215	0.4649	48.7805	15.0094	5.6285	0.9381	0.0000
100.2792	25.3704	13.7995	1.9268	1.3072	0.4228	60.0442	20.3091	0.8830	0.8830	2.6490
100.4316	25.1569	12.5142	1.6922	1.4283	0.3943	48.5223	14.9978	6.1756	0.0000	1.7644
100.5840	24.4351	11.4788	1.4984	1.4637	0.3723	44.0487	13.1209	6.5605	0.9372	2.8116
100.7364	26.0927	11.3622	1.5563	1.6641	0.3541	48.4795	23.7990	3.5258	1.7629	0.8814
100.8888	26.3479	10.7684	1.4596	1.7601	0.3386	61.7012	18.5104	3.5258	0.8814	0.0000
101.0412	27.9272	10.3878	1.3429	1.9815	0.3395	44.0487	19.6813	4.6860	0.9372	0.0000
101.1936	27.7968	10.3283	1.1863	1.9735	0.3670	65.3422	18.5430	5.2980	2.6490	0.0000
101.3460	29.9206	12.3232	1.3935	1.9880	0.4422	54.7461	23.8411	5.2980	0.8830	0.0000
101.4984	27.7611	12.6392	1.4224	1.7084	0.4549	56.4623	25.5845	7.0578	0.0000	0.8822
101.6508	26.7437	13.0370	1.4704	1.5485	0.4686	50.2203	18.5022	5.2863	0.0000	0.8811
101.8032	25.7096	12.2069	1.2982	1.5254	0.4543	56.2324	13.1209	4.6860	2.8116	0.0000
101.9556	28.5127	12.7878	1.2131	1.7765	0.5049	56.4623	15.8800	7.9400	0.0000	0.0000
102.1080	28.6422	11.6913	0.8977	1.9150	0.5034	65.2845	24.7022	7.0578	0.8822	0.8822
102.2604	27.8594	10.9260	0.7118	1.9130	0.4956	53.4208	16.8697	3.7488	2.8116	0.9372
102.4128	25.6159	10.1137	0.6198	1.7513	0.4665	51.2141	16.7770	4.4150	1.7660	0.8830
102.5652	26.1514	10.8551	0.7608	1.7281	0.4818	51.1689	19.4089	8.8222	0.8822	0.0000
102.7176	24.9593	11.0644	0.8428	1.5697	0.4778	58.2267	19.4089	5.2933	0.8822	0.0000
102.8700	23.6695	11.2018	0.8920	1.4085	0.4760	41.4279	15.8660	6.1701	0.0000	0.8814
103.0224	22.2480	10.6627	0.8311	1.3088	0.4567	47.6401	14.1156	7.0578	0.0000	0.8822
103.1748	22.8948	10.3001	0.7673	1.4229	0.4482	49.4045	18.5267	1.7644	0.8822	0.0000
103.3272	21.0931	9.6730	0.6864	1.2902	0.4276	44.9339	14.9780	7.9295	0.8811	0.8811
103.4796	18.9301	9.3011	0.6820	1.0878	0.4069	35.3201	14.1280	2.6490	0.8830	0.0000
103.6320	17.8501	9.6561	0.7359	0.9257	0.4169	35.2889	10.5867	5.2933	0.0000	0.0000
103.7844	17.7797	9.7618	0.7254	0.9058	0.4251	44.9934	7.9400	6.1756	0.0000	0.8822
103.9368	19.0350	10.6885	0.7268	0.9429	0.4788	36.5511	12.1837	1.8744	0.9372	0.9372
104.0892	19.3838	11.0871	0.7610	0.9373	0.4953	42.3467	14.1156	3.5289	1.7644	0.8822
104.2416	20.1825	11.8623	0.8867	0.9400	0.5156	43.2289	12.3511	5.2933	1.7644	0.8822
104.3940	19.8849	11.4911	0.9153	0.9483	0.4883	39.7000	16.7622	4.4111	0.0000	0.0000
104.5464	19.1599	10.8136	0.8407	0.9429	0.4636	40.5823	16.7622	3.5289	0.8822	0.0000
104.6988	18.5947	10.2506	0.7293	0.9427	0.4528	34.6767	17.8069	4.6860	0.9372	0.0000
104.8512	19.3716	10.0995	0.6528	1.0475	0.4591	39.7000	13.2333	3.5289	0.0000	0.0000
105.0036	20.5302	10.1668	0.6157	1.1708	0.4704	41.4645	16.7622	9.7045	0.0000	0.8822
105.1560	21.7300	9.9902	0.6121	1.3263	0.4608	48.7348	14.9953	2.8116	0.0000	0.9372
105.3084	20.4658	8.9815	0.5414	1.2974	0.4160	41.4462	15.8730	7.0547	0.8818	0.0000
105.4608	20.8345	8.4717	0.4648	1.3967	0.4015	35.2889	13.2333	4.4111	0.8822	0.0000
105.6132	22.5282	8.7406	0.3275	1.5576	0.4443	42.3094	17.6289	6.1701	1.7629	0.8814
105.7656	25.4798	9.8347	0.2678	1.7675	0.5198	56.2324	14.9953	4.6860	1.8744	0.9372
105.9180	27.2048	10.5289	0.2142	1.8839	0.5708	59.9912	10.5867	7.0578	0.8822	0.8822
106.0704	26.1129	9.9736	0.2126	1.8233	0.5388	61.8102	15.0110	4.4150	0.8830	0.0000
106.2228	26.6208	10.8364	0.3072	1.7832	0.5704	45.8352	14.9846	7.0516	0.0000	0.0000
106.3752	24.0424	9.5589	0.3180	1.6362	0.4938	58.2267	19.4089	7.9400	0.0000	0.0000
