Exp,Site,Hole,Core,CoreType,Section,TopOffset,BottomOffset,Depth,Data
1,1,A,1,Z,1,0.0,0.0,0.0,44.198
1,1,A,1,Z,1,1.0,1.0,0.01,4.239
1,1,A,1,Z,1,2.0,2.0,0.02,87.193
1,1,A,1,Z,1,3.0,3.0,0.03,57.149
1,1,A,1,Z,1,4.0,4.0,0.04,2.452
1,1,A,1,Z,1,5.0,5.0,0.05,90.509
1,1,A,1,Z,1,6.0,6.0,0.06,33.643
1,1,A,1,Z,1,7.0,7.0,0.07,67.588
1,1,A,1,Z,1,8.0,8.0,0.08,45.467
1,1,A,1,Z,1,9.0,9.0,0.09,25.727
1,1,A,1,Z,1,10.0,10.0,0.1,32.386
1,1,A,1,Z,1,11.0,11.0,0.11,23.551
1,1,A,1,Z,1,12.0,12.0,0.12,91.529
1,1,A,1,Z,1,13.0,13.0,0.13,77.276
1,1,A,1,Z,1,14.0,14.0,0.14,72.823
1,1,A,1,Z,1,15.0,15.0,0.15,23.879
1,1,A,1,Z,1,16.0,16.0,0.16,33.85
1,1,A,1,Z,1,17.0,17.0,0.17,76.032
1,1,A,1,Z,1,18.0,18.0,0.18,29.682
1,1,A,1,Z,1,19.0,19.0,0.19,88.179
1,1,A,1,Z,1,20.0,20.0,0.2,52.37
1,1,A,1,Z,1,21.0,21.0,0.21,5.36
1,1,A,1,Z,1,22.0,22.0,0.22,15.282
1,1,A,1,Z,1,23.0,23.0,0.23,74.727
1,1,A,1,Z,1,24.0,24.0,0.24,84.131
1,1,A,1,Z,1,25.0,25.0,0.25,69.213
1,1,A,1,Z,1,26.0,26.0,0.26,67.879
1,1,A,1,Z,1,27.0,27.0,0.27,47.172
1,1,A,1,Z,1,28.0,28.0,0.28,5.786
1,1,A,1,Z,1,29.0,29.0,0.29,91.335
1,1,A,1,Z,1,30.0,30.0,0.3,27.775
1,1,A,1,Z,1,31.0,31.0,0.31,34.497
1,1,A,1,Z,1,32.0,32.0,0.32,44.267
1,1,A,1,Z,1,33.0,33.0,0.33,3.384
1,1,A,1,Z,1,34.0,34.0,0.34,15.016
1,1,A,1,Z,1,35.0,35.0,0.35,20.666
1,1,A,1,Z,1,36.0,36.0,0.36,81.408
1,1,A,1,Z,1,37.0,37.0,0.37,81.241
1,1,A,1,Z,1,38.0,38.0,0.38,28.297
1,1,A,1,Z,1,39.0,39.0,0.39,48.132
1,1,A,1,Z,1,40.0,40.0,0.4,46.396
1,1,A,1,Z,1,41.0,41.0,0.41,18.129
1,1,A,1,Z,1,42.0,42.0,0.42,15.736
1,1,A,1,Z,1,43.0,43.0,0.43,88.185
1,1,A,1,Z,1,44.0,44.0,0.44,28.917
1,1,A,1,Z,1,45.0,45.0,0.45,87.647
1,1,A,1,Z,1,46.0,46.0,0.46,30.522
1,1,A,1,Z,1,47.0,47.0,0.47,51.955
1,1,A,1,Z,1,48.0,48.0,0.48,23.32
1,1,A,1,Z,1,49.0,49.0,0.49,45.531
1,1,A,1,Z,1,50.0,50.0,0.5,11.036
1,1,A,1,Z,1,51.0,51.0,0.51,55.546
1,1,A,1,Z,1,52.0,52.0,0.52,53.618
1,1,A,1,Z,1,53.0,53.0,0.53,93.18
1,1,A,1,Z,1,54.0,54.0,0.54,5.692
1,1,A,1,Z,1,55.0,55.0,0.55,9.431
1,1,A,1,Z,1,56.0,56.0,0.56,28.313
1,1,A,1,Z,1,57.0,57.0,0.57,24.672
1,1,A,1,Z,1,58.0,58.0,0.58,24.635
1,1,A,1,Z,1,59.0,59.0,0.59,6.8
1,1,A,1,Z,1,60.0,60.0,0.6,16.16
1,1,A,1,Z,1,61.0,61.0,0.61,17.938
1,1,A,1,Z,1,62.0,62.0,0.62,87.384
1,1,A,1,Z,1,63.0,63.0,0.63,22.922
1,1,A,1,Z,1,64.0,64.0,0.64,89.996
1,1,A,1,Z,1,65.0,65.0,0.65,57.939
1,1,A,1,Z,1,66.0,66.0,0.66,14.662
1,1,A,1,Z,1,67.0,67.0,0.67,40.623
1,1,A,1,Z,1,68.0,68.0,0.68,49.417
1,1,A,1,Z,1,69.0,69.0,0.69,10.422
1,1,A,1,Z,1,70.0,70.0,0.7,43.959
1,1,A,1,Z,1,71.0,71.0,0.71,37.682
1,1,A,1,Z,1,72.0,72.0,0.72,17.866
1,1,A,1,Z,1,73.0,73.0,0.73,27.87
1,1,A,1,Z,1,74.0,74.0,0.74,51.874
1,1,A,1,Z,1,75.0,75.0,0.75,38.469
1,1,A,1,Z,1,76.0,76.0,0.76,79.502
1,1,A,1,Z,1,77.0,77.0,0.77,25.38
1,1,A,1,Z,1,78.0,78.0,0.78,76.502
1,1,A,1,Z,1,79.0,79.0,0.79,4.43
1,1,A,1,Z,1,80.0,80.0,0.8,40.139
1,1,A,1,Z,1,81.0,81.0,0.81,52.574
1,1,A,1,Z,1,82.0,82.0,0.82,54.552
1,1,A,1,Z,1,83.0,83.0,0.83,31.635
1,1,A,1,Z,1,84.0,84.0,0.84,13.748
1,1,A,1,Z,1,85.0,85.0,0.85,95.228
1,1,A,1,Z,1,86.0,86.0,0.86,41.992
1,1,A,1,Z,1,87.0,87.0,0.87,76.137
1,1,A,1,Z,1,88.0,88.0,0.88,22.127
1,1,A,1,Z,1,89.0,89.0,0.89,19.032
1,1,A,1,Z,1,90.0,90.0,0.9,84.856
1,1,A,1,Z,1,91.0,91.0,0.91,31.432
1,1,A,1,Z,1,92.0,92.0,0.92,88.484
1,1,A,1,Z,1,93.0,93.0,0.93,89.428
1,1,A,1,Z,1,94.0,94.0,0.94,0.338
1,1,A,1,Z,1,95.0,95.0,0.95,17.122
1,1,A,1,Z,1,96.0,96.0,0.96,47.06
1,1,A,1,Z,1,97.0,97.0,0.97,47.424
1,1,A,1,Z,1,98.0,98.0,0.98,19.785
1,1,A,1,Z,1,99.0,99.0,0.99,23.339
1,1,A,3,Z,1,0.0,0.0,2.0,38.995
1,1,A,3,Z,1,1.0,1.0,2.01,43.15
1,1,A,3,Z,1,2.0,2.0,2.02,68.685
1,1,A,3,Z,1,3.0,3.0,2.03,89.367
1,1,A,3,Z,1,4.0,4.0,2.04,95.69
1,1,A,3,Z,1,5.0,5.0,2.05,17.329
1,1,A,3,Z,1,6.0,6.0,2.06,87.476
1,1,A,3,Z,1,7.0,7.0,2.07,39.0
1,1,A,3,Z,1,8.0,8.0,2.08,45.239
1,1,A,3,Z,1,9.0,9.0,2.09,58.721
1,1,A,3,Z,1,10.0,10.0,2.1,72.442
1,1,A,3,Z,1,11.0,11.0,2.11,9.825
1,1,A,3,Z,1,12.0,12.0,2.12,90.414
1,1,A,3,Z,1,13.0,13.0,2.13,90.421
1,1,A,3,Z,1,14.0,14.0,2.14,77.821
1,1,A,3,Z,1,15.0,15.0,2.15,2.434
1,1,A,3,Z,1,16.0,16.0,2.16,57.214
1,1,A,3,Z,1,17.0,17.0,2.17,83.775
1,1,A,3,Z,1,18.0,18.0,2.18,14.78
1,1,A,3,Z,1,19.0,19.0,2.19,42.549
1,1,A,3,Z,1,20.0,20.0,2.2,97.24
1,1,A,3,Z,1,21.0,21.0,2.21,62.654
1,1,A,3,Z,1,22.0,22.0,2.22,45.598
1,1,A,3,Z,1,23.0,23.0,2.23,71.274
1,1,A,3,Z,1,24.0,24.0,2.24,47.611
1,1,A,3,Z,1,25.0,25.0,2.25,5.1
1,1,A,3,Z,1,26.0,26.0,2.26,79.591
1,1,A,3,Z,1,27.0,27.0,2.27,49.575
1,1,A,3,Z,1,28.0,28.0,2.28,46.329
1,1,A,3,Z,1,29.0,29.0,2.29,11.847
1,1,A,3,Z,1,30.0,30.0,2.3,31.902
1,1,A,3,Z,1,31.0,31.0,2.31,54.296
1,1,A,3,Z,1,32.0,32.0,2.32,22.542
1,1,A,3,Z,1,33.0,33.0,2.33,63.642
1,1,A,3,Z,1,34.0,34.0,2.34,11.259
1,1,A,3,Z,1,35.0,35.0,2.35,94.833
1,1,A,3,Z,1,36.0,36.0,2.36,9.205
1,1,A,3,Z,1,37.0,37.0,2.37,17.099
1,1,A,3,Z,1,38.0,38.0,2.38,10.871
1,1,A,3,Z,1,39.0,39.0,2.39,19.579
1,1,A,3,Z,1,40.0,40.0,2.4,63.447
1,1,A,3,Z,1,41.0,41.0,2.41,22.642
1,1,A,3,Z,1,42.0,42.0,2.42,82.799
1,1,A,3,Z,1,43.0,43.0,2.43,32.659
1,1,A,3,Z,1,44.0,44.0,2.44,62.401
1,1,A,3,Z,1,45.0,45.0,2.45,10.566
1,1,A,3,Z,1,46.0,46.0,2.46,83.261
1,1,A,3,Z,1,47.0,47.0,2.47,46.067
1,1,A,3,Z,1,48.0,48.0,2.48,95.187
1,1,A,3,Z,1,49.0,49.0,2.49,97.895
1,1,A,3,Z,1,50.0,50.0,2.5,56.807
1,1,A,3,Z,1,51.0,51.0,2.51,40.622
1,1,A,3,Z,1,52.0,52.0,2.52,78.595
1,1,A,3,Z,1,53.0,53.0,2.53,2.171
1,1,A,3,Z,1,54.0,54.0,2.54,12.274
1,1,A,3,Z,1,55.0,55.0,2.55,78.401
1,1,A,3,Z,1,56.0,56.0,2.56,49.835
1,1,A,3,Z,1,57.0,57.0,2.57,37.94
1,1,A,3,Z,1,58.0,58.0,2.58,25.376
1,1,A,3,Z,1,59.0,59.0,2.59,95.068
1,1,A,3,Z,1,60.0,60.0,2.6,45.732
1,1,A,3,Z,1,61.0,61.0,2.61,74.13
1,1,A,3,Z,1,62.0,62.0,2.62,37.609
1,1,A,3,Z,1,63.0,63.0,2.63,70.505
1,1,A,3,Z,1,64.0,64.0,2.64,38.46
1,1,A,3,Z,1,65.0,65.0,2.65,1.925
1,1,A,3,Z,1,66.0,66.0,2.66,87.364
1,1,A,3,Z,1,67.0,67.0,2.67,94.52
1,1,A,3,Z,1,68.0,68.0,2.68,13.544
1,1,A,3,Z,1,69.0,69.0,2.69,4.732
1,1,A,3,Z,1,70.0,70.0,2.7,16.545
1,1,A,3,Z,1,71.0,71.0,2.71,80.84
