Exp,Site,Hole,Core,CoreType,Section,TopOffset,BottomOffset,Depth,Data
1,1,B,1,Z,1,0.0,0.0,0.0,1.62
1,1,B,1,Z,1,1.0,1.0,0.01,90.103
1,1,B,1,Z,1,2.0,2.0,0.02,46.279
1,1,B,1,Z,1,3.0,3.0,0.03,32.113
1,1,B,1,Z,1,4.0,4.0,0.04,78.925
1,1,B,1,Z,1,5.0,5.0,0.05,89.173
1,1,B,1,Z,1,6.0,6.0,0.06,69.227
1,1,B,1,Z,1,7.0,7.0,0.07,2.384
1,1,B,1,Z,1,8.0,8.0,0.08,46.168
1,1,B,1,Z,1,9.0,9.0,0.09,39.862
1,1,B,1,Z,1,10.0,10.0,0.1,99.801
1,1,B,1,Z,1,11.0,11.0,0.11,59.545
1,1,B,1,Z,1,12.0,12.0,0.12,23.283
1,1,B,1,Z,1,13.0,13.0,0.13,90.107
1,1,B,1,Z,1,14.0,14.0,0.14,96.734
1,1,B,1,Z,1,15.0,15.0,0.15,92.364
1,1,B,1,Z,1,16.0,16.0,0.16,22.299
1,1,B,1,Z,1,17.0,17.0,0.17,64.045
1,1,B,1,Z,1,18.0,18.0,0.18,96.043
1,1,B,1,Z,1,19.0,19.0,0.19,60.54
1,1,B,1,Z,1,20.0,20.0,0.2,33.861
1,1,B,1,Z,1,21.0,21.0,0.21,38.589
1,1,B,1,Z,1,22.0,22.0,0.22,83.62
1,1,B,1,Z,1,23.0,23.0,0.23,7.018
1,1,B,1,Z,1,24.0,24.0,0.24,11.3
1,1,B,1,Z,1,25.0,25.0,0.25,70.99
1,1,B,1,Z,1,26.0,26.0,0.26,31.517
1,1,B,1,Z,1,27.0,27.0,0.27,81.721
1,1,B,1,Z,1,28.0,28.0,0.28,75.26
1,1,B,1,Z,1,29.0,29.0,0.29,85.407
1,1,B,1,Z,1,30.0,30.0,0.3,30.323
1,1,B,1,Z,1,31.0,31.0,0.31,69.979
1,1,B,1,Z,1,32.0,32.0,0.32,8.153
1,1,B,1,Z,1,33.0,33.0,0.33,25.073
1,1,B,1,Z,1,34.0,34.0,0.34,40.353
1,1,B,1,Z,1,35.0,35.0,0.35,94.285
1,1,B,1,Z,1,36.0,36.0,0.36,23.198
1,1,B,1,Z,1,37.0,37.0,0.37,39.327
1,1,B,1,Z,1,38.0,38.0,0.38,29.467
1,1,B,1,Z,1,39.0,39.0,0.39,61.03
1,1,B,1,Z,1,40.0,40.0,0.4,45.8
1,1,B,1,Z,1,41.0,41.0,0.41,12.103
1,1,B,1,Z,1,42.0,42.0,0.42,91.193
1,1,B,1,Z,1,43.0,43.0,0.43,47.164
1,1,B,1,Z,1,44.0,44.0,0.44,63.076
1,1,B,1,Z,1,45.0,45.0,0.45,43.945
1,1,B,1,Z,1,46.0,46.0,0.46,28.177
1,1,B,1,Z,1,47.0,47.0,0.47,63.283
1,1,B,1,Z,1,48.0,48.0,0.48,71.346
1,1,B,1,Z,1,49.0,49.0,0.49,63.672
1,1,B,1,Z,1,50.0,50.0,0.5,34.358
1,1,B,1,Z,1,51.0,51.0,0.51,9.214
1,1,B,1,Z,1,52.0,52.0,0.52,64.356
1,1,B,1,Z,1,53.0,53.0,0.53,53.803
1,1,B,1,Z,1,54.0,54.0,0.54,64.097
1,1,B,1,Z,1,55.0,55.0,0.55,83.424
1,1,B,1,Z,1,56.0,56.0,0.56,33.225
1,1,B,1,Z,1,57.0,57.0,0.57,75.456
1,1,B,1,Z,1,58.0,58.0,0.58,66.28
1,1,B,1,Z,1,59.0,59.0,0.59,11.35
1,1,B,1,Z,1,60.0,60.0,0.6,89.199
1,1,B,1,Z,1,61.0,61.0,0.61,55.352
1,1,B,1,Z,1,62.0,62.0,0.62,5.003
1,1,B,1,Z,1,63.0,63.0,0.63,96.859
1,1,B,1,Z,1,64.0,64.0,0.64,51.702
1,1,B,1,Z,1,65.0,65.0,0.65,85.012
1,1,B,1,Z,1,66.0,66.0,0.66,0.597
1,1,B,1,Z,1,67.0,67.0,0.67,91.457
1,1,B,1,Z,1,68.0,68.0,0.68,15.79
1,1,B,1,Z,1,69.0,69.0,0.69,71.008
1,1,B,1,Z,1,70.0,70.0,0.7,65.676
1,1,B,1,Z,1,71.0,71.0,0.71,45.545
1,1,B,1,Z,1,72.0,72.0,0.72,9.396
1,1,B,1,Z,1,73.0,73.0,0.73,54.41
1,1,B,1,Z,1,74.0,74.0,0.74,71.589
1,1,B,1,Z,1,75.0,75.0,0.75,45.034
1,1,B,1,Z,1,76.0,76.0,0.76,27.351
1,1,B,1,Z,1,77.0,77.0,0.77,57.329
1,1,B,1,Z,1,78.0,78.0,0.78,95.61
1,1,B,1,Z,1,79.0,79.0,0.79,12.336
1,1,B,1,Z,1,80.0,80.0,0.8,24.809
1,1,B,1,Z,1,81.0,81.0,0.81,57.934
1,1,B,1,Z,1,82.0,82.0,0.82,77.911
1,1,B,1,Z,1,83.0,83.0,0.83,62.54
1,1,B,1,Z,1,84.0,84.0,0.84,25.707
1,1,B,1,Z,1,85.0,85.0,0.85,20.363
1,1,B,1,Z,1,86.0,86.0,0.86,47.438
1,1,B,1,Z,1,87.0,87.0,0.87,39.362
1,1,B,1,Z,1,88.0,88.0,0.88,81.608
1,1,B,1,Z,1,89.0,89.0,0.89,54.408
1,1,B,1,Z,1,90.0,90.0,0.9,43.205
1,1,B,1,Z,1,91.0,91.0,0.91,42.092
1,1,B,1,Z,1,92.0,92.0,0.92,5.152
1,1,B,1,Z,1,93.0,93.0,0.93,19.866
1,1,B,1,Z,1,94.0,94.0,0.94,35.978
1,1,B,1,Z,1,95.0,95.0,0.95,93.276
1,1,B,1,Z,1,96.0,96.0,0.96,55.748
1,1,B,1,Z,1,97.0,97.0,0.97,93.293
1,1,B,1,Z,1,98.0,98.0,0.98,69.443
1,1,B,1,Z,1,99.0,99.0,0.99,50.551
1,1,B,3,Z,1,0.0,0.0,2.0,77.663
1,1,B,3,Z,1,1.0,1.0,2.01,70.141
1,1,B,3,Z,1,2.0,2.0,2.02,58.205
1,1,B,3,Z,1,3.0,3.0,2.03,75.665
1,1,B,3,Z,1,4.0,4.0,2.04,86.271
1,1,B,3,Z,1,5.0,5.0,2.05,81.323
1,1,B,3,Z,1,6.0,6.0,2.06,5.223
1,1,B,3,Z,1,7.0,7.0,2.07,13.875
1,1,B,3,Z,1,8.0,8.0,2.08,41.833
1,1,B,3,Z,1,9.0,9.0,2.09,99.139
1,1,B,3,Z,1,10.0,10.0,2.1,74.65
1,1,B,3,Z,1,11.0,11.0,2.11,65.817
1,1,B,3,Z,1,12.0,12.0,2.12,39.678
1,1,B,3,Z,1,13.0,13.0,2.13,54.888
1,1,B,3,Z,1,14.0,14.0,2.14,96.775
1,1,B,3,Z,1,15.0,15.0,2.15,68.692
1,1,B,3,Z,1,16.0,16.0,2.16,76.509
1,1,B,3,Z,1,17.0,17.0,2.17,75.606
1,1,B,3,Z,1,18.0,18.0,2.18,13.673
1,1,B,3,Z,1,19.0,19.0,2.19,60.155
1,1,B,3,Z,1,20.0,20.0,2.2,62.67
1,1,B,3,Z,1,21.0,21.0,2.21,42.383
1,1,B,3,Z,1,22.0,22.0,2.22,24.965
1,1,B,3,Z,1,23.0,23.0,2.23,60.804
1,1,B,3,Z,1,24.0,24.0,2.24,8.489
1,1,B,3,Z,1,25.0,25.0,2.25,99.056
1,1,B,3,Z,1,26.0,26.0,2.26,5.387
1,1,B,3,Z,1,27.0,27.0,2.27,5.098
1,1,B,3,Z,1,28.0,28.0,2.28,1.482
1,1,B,3,Z,1,29.0,29.0,2.29,55.667
1,1,B,3,Z,1,30.0,30.0,2.3,24.868
1,1,B,3,Z,1,31.0,31.0,2.31,98.906
1,1,B,3,Z,1,32.0,32.0,2.32,38.042
1,1,B,3,Z,1,33.0,33.0,2.33,80.259
1,1,B,3,Z,1,34.0,34.0,2.34,70.207
1,1,B,3,Z,1,35.0,35.0,2.35,47.119
1,1,B,3,Z,1,36.0,36.0,2.36,65.619
1,1,B,3,Z,1,37.0,37.0,2.37,51.762
1,1,B,3,Z,1,38.0,38.0,2.38,56.058
1,1,B,3,Z,1,39.0,39.0,2.39,57.562
1,1,B,3,Z,1,40.0,40.0,2.4,41.232
1,1,B,3,Z,1,41.0,41.0,2.41,22.199
1,1,B,3,Z,1,42.0,42.0,2.42,2.588
1,1,B,3,Z,1,43.0,43.0,2.43,78.351
1,1,B,3,Z,1,44.0,44.0,2.44,67.934
1,1,B,3,Z,1,45.0,45.0,2.45,47.625
1,1,B,3,Z,1,46.0,46.0,2.46,76.887
1,1,B,3,Z,1,47.0,47.0,2.47,43.857
1,1,B,3,Z,1,48.0,48.0,2.48,78.713
1,1,B,3,Z,1,49.0,49.0,2.49,10.45
1,1,B,3,Z,1,50.0,50.0,2.5,65.713
1,1,B,3,Z,1,51.0,51.0,2.51,25.383
1,1,B,3,Z,1,52.0,52.0,2.52,88.082
1,1,B,3,Z,1,53.0,53.0,2.53,15.198
1,1,B,3,Z,1,54.0,54.0,2.54,21.292
1,1,B,3,Z,1,55.0,55.0,2.55,49.361
1,1,B,3,Z,1,56.0,56.0,2.56,92.532
1,1,B,3,Z,1,57.0,57.0,2.57,39.74
1,1,B,3,Z,1,58.0,58.0,2.58,96.709
1,1,B,3,Z,1,59.0,59.0,2.59,36.737
1,1,B,3,Z,1,60.0,60.0,2.6,57.877
1,1,B,3,Z,1,61.0,61.0,2.61,1.302
1,1,B,3,Z,1,62.0,62.0,2.62,55.874
1,1,B,3,Z,1,63.0,63.0,2.63,22.586
1,1,B,3,Z,1,64.0,64.0,2.64,78.994
1,1,B,3,Z,1,65.0,65.0,2.65,92.521
1,1,B,3,Z,1,66.0,66.0,2.66,86.485
1,1,B,3,Z,1,67.0,67.0,2.67,26.891
1,1,B,3,Z,1,68.0,68.0,2.68,34.164
1,1,B,3,Z,1,69.0,69.0,2.69,30.674
1,1,B,3,Z,1,70.0,70.0,2.7,56.324
1,1,B,3,Z,1,71.0,71.0,2.71,19.658
1,1,B,3,Z,1,72.0,72.0,2.72,8.929
1,1,B,3,Z,1,73.0,73.0,2.73,10.41
1,1,B,3,Z,1,74.0,74.0,2.74,8.5
1,1,B,3,Z,1,75.0,75.0,2.75,81.688
1,1,B,3,Z,1,76.0,76.0,2.76,2.249
1,1,B,3,Z,1,77.0,77.0,2.77,41.836
1,1,B,3,Z,1,78.0,78.0,2.78,5.077
1,1,B,3,Z,1,79.0,79.0,2.79,86.929
1,1,B,3,Z,1,80.0,80.0,2.8,27.287
1,1,B,3,Z,1,81.0,81.0,2.81,30.474
1,1,B,3,Z,1,82.0,82.0,2.82,92.485
1,1,B,3,Z,1,83.0,83.0,2.83,59.356
1,1,B,3,Z,1,84.0,84.0,2.84,68.655
1,1,B,3,Z,1,85.0,85.0,2.85,72.346
1,1,B,3,Z,1,86.0,86.0,2.86,14.599
1,1,B,3,Z,1,87.0,87.0,2.87,35.373
1,1,B,3,Z,1,88.0,88.0,2.88,67.372
1,1,B,3,Z,1,89.0,89.0,2.89,83.919
1,1,B,3,Z,1,90.0,90.0,2.9,37.667
1,1,B,3,Z,1,91.0,91.0,2.91,50.976
1,1,B,3,Z,1,92.0,92.0,2.92,43.651
1,1,B,3,Z,1,93.0,93.0,2.93,95.676
1,1,B,3,Z,1,94.0,94.0,2.94,49.389
1,1,B,3,Z,1,95.0,95.0,2.95,44.693
1,1,B,3,Z,1,96.0,96.0,2.96,8.429
1,1,B,3,Z,1,97.0,97.0,2.97,69.475
