Exp,Site,Hole,Core,CoreType,Section,TopOffset,BottomOffset,Depth,Data
1,1,C,1,Z,1,0.0,0.0,0.0,7.741
1,1,C,1,Z,1,1.0,1.0,0.01,76.933
1,1,C,1,Z,1,2.0,2.0,0.02,2.621
1,1,C,1,Z,1,3.0,3.0,0.03,70.785
1,1,C,1,Z,1,4.0,4.0,0.04,83.756
1,1,C,1,Z,1,5.0,5.0,0.05,28.091
1,1,C,1,Z,1,6.0,6.0,0.06,29.058
1,1,C,1,Z,1,7.0,7.0,0.07,94.761
1,1,C,1,Z,1,8.0,8.0,0.08,64.583
1,1,C,1,Z,1,9.0,9.0,0.09,85.765
1,1,C,1,Z,1,10.0,10.0,0.1,50.111
1,1,C,1,Z,1,11.0,11.0,0.11,28.623
1,1,C,1,Z,1,12.0,12.0,0.12,8.04
1,1,C,1,Z,1,13.0,13.0,0.13,50.439
1,1,C,1,Z,1,14.0,14.0,0.14,39.754
1,1,C,1,Z,1,15.0,15.0,0.15,27.385
1,1,C,1,Z,1,16.0,16.0,0.16,72.405
1,1,C,1,Z,1,17.0,17.0,0.17,87.755
1,1,C,1,Z,1,18.0,18.0,0.18,72.544
1,1,C,1,Z,1,19.0,19.0,0.19,43.176
1,1,C,1,Z,1,20.0,20.0,0.2,79.25
1,1,C,1,Z,1,21.0,21.0,0.21,49.638
1,1,C,1,Z,1,22.0,22.0,0.22,59.418
1,1,C,1,Z,1,23.0,23.0,0.23,62.626
1,1,C,1,Z,1,24.0,24.0,0.24,23.464
1,1,C,1,Z,1,25.0,25.0,0.25,0.667
1,1,C,1,Z,1,26.0,26.0,0.26,76.93
1,1,C,1,Z,1,27.0,27.0,0.27,65.634
1,1,C,1,Z,1,28.0,28.0,0.28,62.967
1,1,C,1,Z,1,29.0,29.0,0.29,6.263
1,1,C,1,Z,1,30.0,30.0,0.3,50.115
1,1,C,1,Z,1,31.0,31.0,0.31,77.893
1,1,C,1,Z,1,32.0,32.0,0.32,68.241
1,1,C,1,Z,1,33.0,33.0,0.33,10.977
1,1,C,1,Z,1,34.0,34.0,0.34,7.282
1,1,C,1,Z,1,35.0,35.0,0.35,47.19
1,1,C,1,Z,1,36.0,36.0,0.36,33.713
1,1,C,1,Z,1,37.0,37.0,0.37,10.407
1,1,C,1,Z,1,38.0,38.0,0.38,62.286
1,1,C,1,Z,1,39.0,39.0,0.39,15.076
1,1,C,1,Z,1,40.0,40.0,0.4,38.838
1,1,C,1,Z,1,41.0,41.0,0.41,96.305
1,1,C,1,Z,1,42.0,42.0,0.42,9.231
1,1,C,1,Z,1,43.0,43.0,0.43,38.414
1,1,C,1,Z,1,44.0,44.0,0.44,86.597
1,1,C,1,Z,1,45.0,45.0,0.45,45.678
1,1,C,1,Z,1,46.0,46.0,0.46,93.234
1,1,C,1,Z,1,47.0,47.0,0.47,48.702
