Exp,Site,Hole,Core,CoreType,Section,TopOffset,BottomOffset,Depth,Data
1,1,D,1,Z,1,0.0,0.0,0.0,46.223
1,1,D,1,Z,1,1.0,1.0,0.01,88.627
1,1,D,1,Z,1,2.0,2.0,0.02,34.14
1,1,D,1,Z,1,3.0,3.0,0.03,61.21
1,1,D,1,Z,1,4.0,4.0,0.04,68.323
1,1,D,1,Z,1,5.0,5.0,0.05,44.832
1,1,D,1,Z,1,6.0,6.0,0.06,74.939
1,1,D,1,Z,1,7.0,7.0,0.07,1.14
1,1,D,1,Z,1,8.0,8.0,0.08,31.87
1,1,D,1,Z,1,9.0,9.0,0.09,89.039
1,1,D,1,Z,1,10.0,10.0,0.1,33.241
1,1,D,1,Z,1,11.0,11.0,0.11,20.802
1,1,D,1,Z,1,12.0,12.0,0.12,11.281
1,1,D,1,Z,1,13.0,13.0,0.13,4.654
1,1,D,1,Z,1,14.0,14.0,0.14,27.746
1,1,D,1,Z,1,15.0,15.0,0.15,45.437
1,1,D,1,Z,1,16.0,16.0,0.16,4.028
1,1,D,1,Z,1,17.0,17.0,0.17,85.187
1,1,D,1,Z,1,18.0,18.0,0.18,77.126
1,1,D,1,Z,1,19.0,19.0,0.19,55.597
1,1,D,1,Z,1,20.0,20.0,0.2,30.045
1,1,D,1,Z,1,21.0,21.0,0.21,28.069
1,1,D,1,Z,1,22.0,22.0,0.22,24.865
1,1,D,1,Z,1,23.0,23.0,0.23,10.289
1,1,D,1,Z,1,24.0,24.0,0.24,3.506
1,1,D,1,Z,1,25.0,25.0,0.25,54.164
1,1,D,1,Z,1,26.0,26.0,0.26,76.313
1,1,D,1,Z,1,27.0,27.0,0.27,28.003
1,1,D,1,Z,1,28.0,28.0,0.28,12.918
1,1,D,1,Z,1,29.0,29.0,0.29,20.012
1,1,D,1,Z,1,30.0,30.0,0.3,87.408
1,1,D,1,Z,1,31.0,31.0,0.31,88.637
1,1,D,1,Z,1,32.0,32.0,0.32,36.432
1,1,D,1,Z,1,33.0,33.0,0.33,6.905
1,1,D,1,Z,1,34.0,34.0,0.34,28.691
1,1,D,1,Z,1,35.0,35.0,0.35,99.253
1,1,D,1,Z,1,36.0,36.0,0.36,0.722
1,1,D,1,Z,1,37.0,37.0,0.37,63.587
1,1,D,1,Z,1,38.0,38.0,0.38,37.167
1,1,D,1,Z,1,39.0,39.0,0.39,11.258
1,1,D,1,Z,1,40.0,40.0,0.4,64.143
1,1,D,1,Z,1,41.0,41.0,0.41,41.404
1,1,D,1,Z,1,42.0,42.0,0.42,2.23
1,1,D,1,Z,1,43.0,43.0,0.43,8.639
1,1,D,1,Z,1,44.0,44.0,0.44,13.456
1,1,D,1,Z,1,45.0,45.0,0.45,88.212
1,1,D,1,Z,1,46.0,46.0,0.46,40.605
1,1,D,1,Z,1,47.0,47.0,0.47,36.731
1,1,D,1,Z,1,48.0,48.0,0.48,50.195
1,1,D,1,Z,1,49.0,49.0,0.49,75.194
1,1,D,1,Z,1,50.0,50.0,0.5,92.889
1,1,D,1,Z,1,51.0,51.0,0.51,67.317
1,1,D,1,Z,1,52.0,52.0,0.52,0.237
1,1,D,1,Z,1,53.0,53.0,0.53,70.058
1,1,D,1,Z,1,54.0,54.0,0.54,94.465
1,1,D,1,Z,1,55.0,55.0,0.55,91.789
1,1,D,1,Z,1,56.0,56.0,0.56,32.666
1,1,D,1,Z,1,57.0,57.0,0.57,96.865
1,1,D,1,Z,1,58.0,58.0,0.58,65.963
1,1,D,1,Z,1,59.0,59.0,0.59,58.14
1,1,D,1,Z,1,60.0,60.0,0.6,28.271
1,1,D,1,Z,1,61.0,61.0,0.61,28.264
1,1,D,1,Z,1,62.0,62.0,0.62,42.895
1,1,D,1,Z,1,63.0,63.0,0.63,95.489
1,1,D,1,Z,1,64.0,64.0,0.64,81.272
1,1,D,1,Z,1,65.0,65.0,0.65,21.527
1,1,D,1,Z,1,66.0,66.0,0.66,13.633
1,1,D,1,Z,1,67.0,67.0,0.67,57.974
1,1,D,1,Z,1,68.0,68.0,0.68,39.361
1,1,D,1,Z,1,69.0,69.0,0.69,21.022
1,1,D,1,Z,1,70.0,70.0,0.7,1.447
1,1,D,1,Z,1,71.0,71.0,0.71,61.799
1,1,D,1,Z,1,72.0,72.0,0.72,46.267
1,1,D,1,Z,1,73.0,73.0,0.73,73.933
1,1,D,1,Z,1,74.0,74.0,0.74,15.247
1,1,D,1,Z,1,75.0,75.0,0.75,91.548
1,1,D,1,Z,1,76.0,76.0,0.76,63.969
1,1,D,1,Z,1,77.0,77.0,0.77,80.71
1,1,D,1,Z,1,78.0,78.0,0.78,7.034
1,1,D,1,Z,1,79.0,79.0,0.79,4.53
1,1,D,1,Z,1,80.0,80.0,0.8,4.582
1,1,D,1,Z,1,81.0,81.0,0.81,40.858
1,1,D,1,Z,1,82.0,82.0,0.82,81.781
1,1,D,1,Z,1,83.0,83.0,0.83,60.123
1,1,D,1,Z,1,84.0,84.0,0.84,92.772
1,1,D,1,Z,1,85.0,85.0,0.85,32.207
1,1,D,1,Z,1,86.0,86.0,0.86,75.637
1,1,D,1,Z,1,87.0,87.0,0.87,57.96
1,1,D,1,Z,1,88.0,88.0,0.88,66.588
1,1,D,1,Z,1,89.0,89.0,0.89,90.446
1,1,D,1,Z,1,90.0,90.0,0.9,13.375
1,1,D,1,Z,1,91.0,91.0,0.91,52.077
1,1,D,1,Z,1,92.0,92.0,0.92,33.895
1,1,D,1,Z,1,93.0,93.0,0.93,20.332
1,1,D,1,Z,1,94.0,94.0,0.94,58.037
1,1,D,1,Z,1,95.0,95.0,0.95,19.648
1,1,D,1,Z,1,96.0,96.0,0.96,50.563
1,1,D,1,Z,1,97.0,97.0,0.97,71.615
1,1,D,1,Z,1,98.0,98.0,0.98,53.897
1,1,D,1,Z,1,99.0,99.0,0.99,63.426
