Site,Hole,Core,Core type,Core top depth CSF-A (m),Core top depth CCSF (m),Cumulative offset (m),Differential offset (m),Growth rate,Shift type,Reference core,Reference tie point CSF-A (m),Shift tie point CSF-A (m),Data used,Quality comment
1,A,1,Z,0.0,0.0,0.0,0.0,0.0,REL,,,,,
1,A,2,Z,1.0,1.213,0.213,0.0,1.213,TIE,B1,0.7759999999999999,1.219,Natural Gamma,
1,A,3,Z,2.0,2.252,0.252,0.0,1.126,TIE,C2,1.908,2.1639999999999997,Natural Gamma,
1,A,4,Z,3.0,3.443,0.443,0.0,1.148,TIE,B3,2.569,3.2939999999999996,Natural Gamma,
1,A,5,Z,4.0,4.504,0.504,0.0,1.126,TIE,B4,3.4829999999999997,4.252,Natural Gamma,
1,B,1,Z,0.0,0.656,0.656,0.0,0.0,TIE,A1,0.738,0.082,Natural Gamma,
1,B,2,Z,1.0,1.79,0.79,0.0,1.79,TIE,A2,1.804,1.2269999999999999,Natural Gamma,
1,B,3,Z,2.0,3.168,1.168,0.0,1.584,TIE,C3,2.5260000000000002,2.291,Natural Gamma,
1,B,4,Z,3.0,4.273,1.273,0.0,1.424,TIE,C4,3.4370000000000003,3.1579999999999995,Natural Gamma,
1,B,5,Z,4.0,5.36,1.36,0.0,1.34,TIE,A5,4.9159999999999995,4.06,Natural Gamma,
1,C,1,Z,0.0,0.122,0.122,0.0,0.0,TIE,B1,0.18599999999999994,0.72,Natural Gamma,
1,C,2,Z,1.0,1.508,0.508,0.0,1.508,TIE,B1,0.8969999999999999,1.045,Natural Gamma,
1,C,3,Z,2.0,2.933,0.933,0.0,1.466,TIE,A3,2.7720000000000002,2.091,Natural Gamma,
1,C,4,Z,3.0,3.994,0.994,0.0,1.331,TIE,B3,2.872,3.0460000000000003,Natural Gamma,
1,C,5,Z,4.0,5.106,1.106,0.0,1.276,TIE,B4,3.8859999999999992,4.053,Natural Gamma,
1,D,1,Z,0.0,0.0,0.0,0.0,0.0,REL,,,,,
1,D,2,Z,1.0,1.0,0.0,0.0,1.0,REL,,,,,
1,D,3,Z,2.0,2.0,0.0,0.0,1.0,REL,,,,,
1,D,4,Z,3.0,3.0,0.0,0.0,1.0,REL,,,,,
1,D,5,Z,4.0,4.0,0.0,0.0,1.0,REL,,,,,
