Exp,Site,Hole,Core,CoreType,Section,TopDepth,BottomDepth
339,U1390,A,1,H,1,0,1.5
339,U1390,A,1,H,2,1.5,2.9
339,U1390,A,1,H,3,2.9,3.41
339,U1390,A,1,H,CC,3.41,3.63
339,U1390,A,2,H,1,3.6,5.12
339,U1390,A,2,H,2,5.12,6.62
339,U1390,A,2,H,3,6.62,8.12
339,U1390,A,2,H,4,8.12,9.62
339,U1390,A,2,H,5,9.62,11.13
339,U1390,A,2,H,6,11.13,12.54
339,U1390,A,2,H,7,12.54,13.21
339,U1390,A,2,H,CC,13.21,13.45
339,U1390,A,3,H,1,13.1,14.61
339,U1390,A,3,H,2,14.61,16.11
339,U1390,A,3,H,3,16.11,17.61
339,U1390,A,3,H,4,17.61,19.11
339,U1390,A,3,H,5,19.11,20.61
339,U1390,A,3,H,6,20.61,21.92
339,U1390,A,3,H,7,21.92,22.62
339,U1390,A,3,H,CC,22.62,22.93
339,U1390,A,4,H,1,22.6,24.1
339,U1390,A,4,H,2,24.1,25.61
339,U1390,A,4,H,3,25.61,27.12
339,U1390,A,4,H,4,27.12,28.63
339,U1390,A,4,H,5,28.63,30.14
339,U1390,A,4,H,6,30.14,31.16
339,U1390,A,4,H,7,31.16,31.86
339,U1390,A,4,H,CC,31.86,32.3
339,U1390,B,1,H,1,0,1.5
339,U1390,B,1,H,2,1.5,3
339,U1390,B,1,H,3,3,4.5
339,U1390,B,1,H,4,4.5,6
339,U1390,B,1,H,5,6,7.5
339,U1390,B,1,H,6,7.5,8.72
339,U1390,B,1,H,CC,8.72,9.12
339,U1390,B,2,H,1,9.1,10.6
339,U1390,B,2,H,2,10.6,12.1
339,U1390,B,2,H,3,12.1,13.6
339,U1390,B,2,H,4,13.6,15.1
339,U1390,B,2,H,5,15.1,16.6
339,U1390,B,2,H,6,16.6,18.1
339,U1390,B,2,H,7,18.1,18.66
339,U1390,B,2,H,CC,18.66,19.12
339,U1390,B,3,H,1,18.6,20.1
339,U1390,B,3,H,2,20.1,21.6
339,U1390,B,3,H,3,21.6,23.1
339,U1390,B,3,H,4,23.1,24.6
339,U1390,B,3,H,5,24.6,26.1
339,U1390,B,3,H,6,26.1,27.41
339,U1390,B,3,H,7,27.41,28.1
339,U1390,B,3,H,CC,28.1,28.35
339,U1390,B,4,H,1,28.1,29.6
339,U1390,B,4,H,2,29.6,31.1
339,U1390,B,4,H,3,31.1,32.6
339,U1390,B,4,H,4,32.6,34.12
339,U1390,B,4,H,5,34.12,35.63
339,U1390,B,4,H,6,35.63,37.14
339,U1390,B,4,H,7,37.14,37.86
339,U1390,B,4,H,CC,37.86,38.26
339,U1390,C,1,H,1,0,1.5
339,U1390,C,1,H,2,1.5,3
339,U1390,C,1,H,3,3,4.13
339,U1390,C,1,H,CC,4.13,4.4
339,U1390,C,2,H,1,4.4,5.9
339,U1390,C,2,H,2,5.9,7.4
339,U1390,C,2,H,3,7.4,8.9
339,U1390,C,2,H,4,8.9,10.4
339,U1390,C,2,H,5,10.4,11.9
339,U1390,C,2,H,6,11.9,13.31
339,U1390,C,2,H,7,13.31,14
339,U1390,C,2,H,CC,14,14.36
339,U1390,C,3,H,1,13.9,15.32
339,U1390,C,3,H,2,15.32,16.82
339,U1390,C,3,H,3,16.82,18.19
339,U1390,C,3,H,4,18.19,19.69
339,U1390,C,3,H,5,19.69,21.19
339,U1390,C,3,H,6,21.19,22.2
339,U1390,C,3,H,7,22.2,22.85
339,U1390,C,3,H,CC,22.85,23.52
339,U1390,C,4,H,1,23.4,24.9
339,U1390,C,4,H,2,24.9,26.4
339,U1390,C,4,H,3,26.4,27.9
339,U1390,C,4,H,4,27.9,29.4
339,U1390,C,4,H,5,29.4,30.9
339,U1390,C,4,H,6,30.9,32.4
339,U1390,C,4,H,7,32.4,33.13
339,U1390,C,4,H,CC,33.13,33.44
