Site,Hole,Core,Core Type,Depth CSF (m),Depth CCSF (m),Cumulative Offset (m),Differential Offset (m),Growth Rate,Shift Type,Fixed Core,Fixed Tie CSF,Shifted Tie CSF,Data Used,Quality Comment
U1390,A,1,H,0,0,0,0,0,REL,,,,,
U1390,A,2,H,3.6,3.6,0,0,1,REL,,,,,
U1390,A,3,H,13.1,13.1,0,0,1,REL,,,,,
U1390,A,4,H,22.6,22.6,0,0,1,REL,,,,,
U1390,B,1,H,0,1.069,1.069,0,0,TIE,A1,2.205,1.136,Natural Gamma,
U1390,B,2,H,9.1,10.169,1.069,0,1.117,REL,,,,,
U1390,B,3,H,18.6,19.669,1.069,0,1.057,REL,,,,,
U1390,B,4,H,28.1,29.169,1.069,0,1.038,REL,,,,,
U1390,C,1,H,0,2.238,2.238,0,0,TIE,B1,2.506,1.337,Natural Gamma,
U1390,C,2,H,4.4,6.638,2.238,0,1.509,REL,,,,,
U1390,C,3,H,13.9,16.138,2.238,0,1.161,REL,,,,,
U1390,C,4,H,23.4,25.638,2.238,0,1.096,REL,,,,,
