Site,Hole,Core,Core Type,Depth CSF (m),Depth CCSF (m),Cumulative Offset (m),Differential Offset (m),Growth Rate,Shift Type,Data Used,Quality Comment
U1390,A,1,H,0.000000,0.000000,0.000000,0.000000,0.000000,ANCHOR,,
U1390,A,2,H,3.600000,3.960000,0.360000,0.360000,1.100000,SET,Natural Gamma,
U1390,A,3,H,13.100000,14.410000,1.310000,0.950000,1.100000,SET,Natural Gamma,
U1390,A,4,H,22.600000,24.860000,2.260000,0.950000,1.100000,SET,Natural Gamma,
U1390,A,5,H,32.100000,35.310001,3.210001,0.950000,1.100000,SET,Natural Gamma,
U1390,A,6,H,41.600000,45.760001,4.160001,0.950000,1.100000,SET,Natural Gamma,
U1390,A,7,H,51.100000,56.210001,5.110001,0.950000,1.100000,SET,Natural Gamma,
U1390,A,8,H,60.600000,66.660001,6.060001,0.950000,1.100000,SET,Natural Gamma,
U1390,A,9,H,70.200000,77.220002,7.020002,0.960001,1.100000,SET,Natural Gamma,
U1390,A,10,X,76.800000,84.480002,7.680002,0.660000,1.100000,SET,Natural Gamma,
U1390,A,11,X,83.500000,91.850002,8.350002,0.670001,1.100000,SET,Natural Gamma,
U1390,A,12,X,93.100000,102.410002,9.310002,0.960000,1.100000,SET,Natural Gamma,
U1390,A,13,X,102.700000,112.970002,10.270002,0.960000,1.100000,SET,Natural Gamma,
U1390,A,14,X,112.300000,123.530002,11.230002,0.960000,1.100000,SET,Natural Gamma,
U1390,A,15,X,121.900000,134.090002,12.190002,0.960000,1.100000,SET,Natural Gamma,
U1390,A,16,X,131.400000,144.540003,13.140003,0.950001,1.100000,SET,Natural Gamma,
U1390,A,17,X,140.900000,154.990003,14.090003,0.950000,1.100000,SET,Natural Gamma,
U1390,A,18,X,150.500000,165.550004,15.050004,0.960001,1.100000,SET,Natural Gamma,
U1390,A,19,X,160.100000,176.110004,16.010004,0.960000,1.100000,SET,Natural Gamma,
U1390,A,20,X,169.600000,186.560005,16.960005,0.950001,1.100000,SET,Natural Gamma,
U1390,A,21,X,179.200000,197.120004,17.920004,0.959999,1.100000,SET,Natural Gamma,
U1390,A,22,X,188.800000,207.680005,18.880005,0.960001,1.100000,SET,Natural Gamma,
U1390,A,23,X,198.400000,218.240004,19.840004,0.959999,1.100000,SET,Natural Gamma,
U1390,A,24,X,208.000000,228.800005,20.800005,0.960001,1.100000,SET,Natural Gamma,
U1390,A,25,X,217.500000,239.250006,21.750006,0.950001,1.100000,SET,Natural Gamma,
U1390,A,26,X,227.000000,249.700005,22.700005,0.949999,1.100000,SET,Natural Gamma,
U1390,A,27,X,236.700000,260.370006,23.670006,0.970001,1.100000,SET,Natural Gamma,
U1390,A,28,X,246.300000,270.930007,24.630007,0.960001,1.100000,SET,Natural Gamma,
U1390,A,29,X,255.900000,281.490006,25.590006,0.959999,1.100000,SET,Natural Gamma,
U1390,A,30,X,265.820000,292.402006,26.582006,0.992001,1.100000,SET,Natural Gamma,
U1390,A,31,X,275.100000,302.610006,27.510006,0.927999,1.100000,SET,Natural Gamma,
U1390,A,32,X,284.700000,313.170007,28.470007,0.960001,1.100000,SET,Natural Gamma,
U1390,A,33,X,294.300000,323.730008,29.430008,0.960001,1.100000,SET,Natural Gamma,
U1390,A,34,X,303.900000,334.290007,30.390007,0.959999,1.100000,SET,Natural Gamma,
U1390,A,35,X,313.600000,344.960008,31.360008,0.970001,1.100000,SET,Natural Gamma,
U1390,A,36,X,323.100000,355.410009,32.310009,0.950001,1.100000,SET,Natural Gamma,
U1390,A,37,X,332.300000,365.530007,33.230007,0.919998,1.100000,SET,Natural Gamma,
U1390,A,38,X,341.900000,376.090006,34.190006,0.959999,1.100000,SET,Natural Gamma,
U1390,B,1,H,0.000000,0.954198,0.954198,0.954198,0.000000,TIE,Natural Gamma,
U1390,B,2,H,9.100000,10.010000,0.910000,-0.044198,1.100000,SET,Natural Gamma,
U1390,B,3,H,18.600000,18.600000,0.000000,-0.910000,1.000000,,,
U1390,B,4,H,28.100000,28.100000,0.000000,0.000000,1.000000,,,
U1390,B,5,H,37.600000,37.600000,0.000000,0.000000,1.000000,,,
U1390,B,6,H,47.100000,47.100000,0.000000,0.000000,1.000000,,,
U1390,B,7,H,56.600000,56.600000,0.000000,0.000000,1.000000,,,
U1390,B,8,H,66.100000,66.100000,0.000000,0.000000,1.000000,,,
U1390,B,9,H,75.600000,75.600000,0.000000,0.000000,1.000000,,,
